"","Codes","Description","Decision","Importance Score"
"1","k5g1d","G1D. I try to do my best on all my work","Confirmed",0.668882841731043
"2","k5g2c","G2C. I worry about taking tests","Confirmed",4.13123892307529
"3","k5g2h","G2H. It's hard for me to finish my schoolwork","Confirmed",3.70037802486112
"4","k5g2m","G2M. I get in trouble for talking and disturbing others","Confirmed",3.06714414031163
"5","m5a4","A4. Your relationship with the child's biofather now","Confirmed",1.108285028742
"6","m5b3","B3. Frequency father spent one or more hours a day with child","Confirmed",1.2949682471274
"7","m5j1","J1. Total household income before taxes/deductions in past 12 months","Confirmed",2.52288837541519
"8","f5a4","A4. Relationship with child's biological mother now","Confirmed",1.0035251270238
"9","f5a8f01","A8F. Your relationship with the mother at biological child's birth","Confirmed",0.622136259915627
"10","f5g35","G35. Age when you had sexual intercourse for the first time","Confirmed",1.55081475840647
"11","f5i13","i13. how much you earn in that job, before taxes","Confirmed",4.99964631371208
"12","f5j1","J1. Total household income before taxes/deductions in past 12 months","Confirmed",4.48817727942113
"13","p5i23","I23. Number of child's close friends you know by sight, first and last name","Confirmed",1.02849258578307
"14","p5i30a","I30A. Confirm where BioF lives","Confirmed",0.764261547019112
"15","p5i34","I34. Number of child's close friends father knows by sight, first and last name","Confirmed",3.42841594158829
"16","p5j4b","J4B. Child receives free or reduced price lunch","Confirmed",3.8377799277809
"17","p5l13f","L13F. Gifted and talented program","Confirmed",1.25174565083443
"18","p5l17d","L17D. Discussed homework not done with child's teacher in this/last school year","Confirmed",1.15156639003545
"19","p5m1","M1. Number of families on block know well","Confirmed",0.691625081713116
"20","p5q3bw","Q3BW. Child is inattentive or easily distracted","Confirmed",4.0687625782867
"21","hv5_ppvtss","PPVT standard score","Confirmed",8.64524729421539
"22","hv5_wj9ss","Woodcock Johnson Test 9 standard score","Confirmed",6.59708475307848
"23","hv5_wj10ss","Woodcock Johnson Test 10 standard score","Confirmed",10.1995076814951
"24","hv5_wj9raw","Woodcock Johnson Test 9 raw score","Confirmed",5.84840645917337
"25","cf5age","Constructed - Father's age (years)","Confirmed",3.74709327434633
"26","cm5age","Constructed - Mother's age (years)","Confirmed",2.42683194280323
"27","cm5fevjail","Constructed - mother report, father has spent time in jail by mother nine-year i","Tentative",1.21579082595634
"28","cf5fevjail","Constructed - father report, father has spent time in jail by his nine-year inte","Confirmed",1.37473624154568
"29","cf5edu","Father's education: year 9","Confirmed",5.95335435119544
"30","cm5hhinc","Constructed - Mother's Household income (with imputed values)","Confirmed",5.45192506922193
"31","cf5hhinc","Constructed - Father's Household income (with imputed values)","Confirmed",6.15517055104785
"32","cm5hhimp","Flag var for household income imputation - mothers","Confirmed",1.07997483887302
"33","cf5hhincb","Constructed - Household income mother report for married/cohab if available (wit","Confirmed",7.18120360752298
"34","cm5povco","Constructed - Mother's household income/poverty threshold at 9-year","Confirmed",4.7638629909815
"35","cf5povco","Constructed - father's household income/poverty threshold at 9-year","Confirmed",6.28225875621896
"36","cf5povcob","Constructed - father's household income/poverty threshold at 9-year, mother repo","Confirmed",6.9597308956649
"37","cm5povca","Constructed - Mother's poverty category at 9-year","Confirmed",2.7077082020414
"38","cf5povca","Constructed - Father's poverty category at 9-year","Confirmed",3.87572358328842
"39","cf5povcab","Constructed - Father's poverty category at 9-year, mother reports for married/co","Confirmed",3.59257106117347
